timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1694183968182,719,Login by Admin,200,OK,Flow for tenant creation 1-1,text,true,,512,381,1,1,https://dev.guardianservice.app/api/v1/accounts/login,719,0,469
1694183968902,285,Create new tenant,200,OK,Flow for tenant creation 1-1,text,true,,644,512,1,1,https://dev.guardianservice.app/api/v1/tenants/user,285,0,0
1694183968181,1004,User creation(admin side),200,"Number of samples in transaction : 2, number of failing samples : 0",Flow for tenant creation 1-1,,true,,1156,893,1,1,null,1004,3,469
1694183968181,1004,User creation flow,200,"Number of samples in transaction : 2, number of failing samples : 0",Flow for tenant creation 1-1,,true,,1156,893,1,1,null,1004,3,469
1694183969199,1752,Invite and accept SR,200,"Number of samples in transaction : 4, number of failing samples : 0",Full flow for N users 2-1,,true,,2426,2123,1,1,null,0,0,468
1694183969199,717,Login by Admin,200,OK,Full flow for N users 2-1,text,true,,512,381,1,1,https://dev.guardianservice.app/api/v1/accounts/login,717,0,468
1694183969917,279,Get tenant id,200,OK,Full flow for N users 2-1,text,true,,739,450,1,1,https://dev.guardianservice.app/api/v1/tenants/user,278,0,0
1694183970197,402,Invite sr,200,OK,Full flow for N users 2-1,text,true,,370,583,1,1,https://dev.guardianservice.app/api/v1/tenants/invite,402,0,0
1694183970600,351,Accept sr,201,Created,Full flow for N users 2-1,text,true,,805,709,1,1,https://dev.guardianservice.app/api/v1/accounts/register,351,0,0
1694183970952,1200,Invite and accept user,200,"Number of samples in transaction : 4, number of failing samples : 0",Full flow for N users 2-1,,true,,2415,2262,1,1,null,0,0,0
1694183970953,251,Login by Admin,200,OK,Full flow for N users 2-1,text,true,,512,531,1,1,https://dev.guardianservice.app/api/v1/accounts/login,251,0,0
1694183971204,278,Get tenant id,200,OK,Full flow for N users 2-1,text,true,,739,450,1,1,https://dev.guardianservice.app/api/v1/tenants/user,278,0,0
1694183971483,393,Invite user,200,OK,Full flow for N users 2-1,text,true,,370,583,1,1,https://dev.guardianservice.app/api/v1/tenants/invite,393,0,0
1694183971877,275,Accept user,201,Created,Full flow for N users 2-1,text,true,,794,698,1,1,https://dev.guardianservice.app/api/v1/accounts/register,275,0,0
1694183969199,2952,User creation(admin side),200,"Number of samples in transaction : 11, number of failing samples : 0",Full flow for N users 2-1,,true,,4841,4385,1,1,null,0,1,468
1694183972152,3068,Generate sr hedera data,200,"Number of samples in transaction : 4, number of failing samples : 0",Full flow for N users 2-1,,true,,2599,2057,1,1,null,0,0,1
1694183972153,8,Login by SR OS,200,OK,Full flow for N users 2-1,text,true,,688,354,1,1,http://localhost:3000/api/v1/accounts/login,8,0,1
1694183972162,5,Generate sr keys,202,Accepted,Full flow for N users 2-1,text,true,,371,553,1,1,http://localhost:3000/api/v1/demo/push/random-key,5,0,0
1694183975187,17,Get key gen result,200,OK,Full flow for N users 2-1,text,true,,770,575,1,1,http://localhost:3000/api/v1/tasks/f5d374ab-e1bd-4f0f-8c2d-1e67a7385dc0,17,0,0
1694183975214,7,Get sr keys,200,OK,Full flow for N users 2-1,text,true,,770,575,1,1,http://localhost:3000/api/v1/tasks/f5d374ab-e1bd-4f0f-8c2d-1e67a7385dc0,7,0,0
1694183975222,23477,Link SR,200,"Number of samples in transaction : 10, number of failing samples : 0",Full flow for N users 2-1,,true,,8288,3327,1,1,null,0,0,0
1694183975222,252,Login by SR,200,OK,Full flow for N users 2-1,text,true,,625,352,1,1,https://dev.guardianservice.app/api/v1/accounts/login,252,0,0
1694183975475,258,Link SR profile,202,Accepted,Full flow for N users 2-1,text,true,,348,839,1,1,https://dev.guardianservice.app/api/v1/profiles/push/apisr1,258,0,0
1694183978744,227,Get SR link result,200,OK,Full flow for N users 2-1,text,true,,526,267,1,1,https://dev.guardianservice.app/api/v1/tasks/3d969ce0-a340-49fc-b387-4311aadb3464,227,0,0
