timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1703036768591,898,Login by Admin,200,OK,Users deletion 1-1,text,true,,1167,378,1,1,https://dev.guardianservice.app/api/v1/accounts/login,896,0,590
1703036769488,1,Login by Admin-0,200,OK,Users deletion 1-1,text,true,,602,0,1,1,null,0,0,0
1703036769490,300,Get Admin Access Token,201,Created,Users deletion 1-1,text,true,,1371,560,1,1,https://dev.guardianservice.app/api/v1/accounts/access-token,299,0,0
1703036769789,1,Get Admin Access Token-0,200,OK,Users deletion 1-1,text,true,,872,0,1,1,null,0,0,0
1703036769791,335,Get tenant id,200,OK,Users deletion 1-1,text,true,,1845,480,1,1,https://dev.guardianservice.app/api/v1/tenants/user,334,0,0
1703036770126,0,Get tenant id-0,200,OK,Users deletion 1-1,text,true,,1115,0,1,1,null,0,0,0
1703036770128,415,Delete existing tenant,200,OK,Users deletion 1-1,text,true,,1459,568,1,1,https://dev.guardianservice.app/api/v1/tenants/delete,414,0,0
1703036770542,1,Delete existing tenant-0,200,OK,Users deletion 1-1,text,true,,1167,0,1,1,null,0,0,0
1703036768590,1948,Tenant delete,200,"Number of samples in transaction : 4, number of failing samples : 0",Users deletion 1-1,,true,,5842,1986,1,1,null,1943,5,590
1703036768590,1948,Delete users,200,"Number of samples in transaction : 4, number of failing samples : 0",Users deletion 1-1,,true,,5842,1986,1,1,null,1943,5,590
