timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1698222048524,1065,Get tenant,200,"Number of samples in transaction : 2, number of failing samples : 0",View flow 1-1,,true,,2624,822,1,1,null,0,0,576
1698222048525,805,Login by Admin,200,OK,View flow 1-1,text,true,,1093,377,1,1,https://dev.guardianservice.app/api/v1/accounts/login,804,0,576
1698222049329,1,Login by Admin-0,200,OK,View flow 1-1,text,true,,590,0,1,1,null,0,0,0
1698222049332,257,Get Tenant Id,200,OK,View flow 1-1,text,true,,1531,445,1,1,https://dev.guardianservice.app/api/v1/tenants/user,256,0,0
1698222049588,1,Get Tenant Id-0,200,OK,View flow 1-1,text,true,,800,0,1,1,null,0,0,0
1698222049592,508,Get policy,200,"Number of samples in transaction : 2, number of failing samples : 0",View flow 1-1,,true,,7071,982,1,1,null,0,0,0
1698222049592,235,Login by SR,200,OK,View flow 1-1,text,true,,1650,393,1,1,https://dev.guardianservice.app/api/v1/accounts/login,233,0,0
1698222049825,2,Login by SR-0,200,OK,View flow 1-1,text,true,,852,0,1,1,null,0,0,0
1698222049829,271,Get Policy id,200,OK,View flow 1-1,text,true,,5421,589,1,1,https://dev.guardianservice.app/api/v1/policies,269,0,0
1698222050099,1,Get Policy id-0,200,OK,View flow 1-1,text,true,,1224,0,1,1,null,0,0,0
1698222058526,940,Get tenant,200,"Number of samples in transaction : 2, number of failing samples : 0",View flow 1-2,,true,,2625,822,2,2,null,0,0,451
1698222058528,679,Login by Admin,200,OK,View flow 1-2,text,true,,1094,377,2,2,https://dev.guardianservice.app/api/v1/accounts/login,678,0,451
1698222059206,1,Login by Admin-0,200,OK,View flow 1-2,text,true,,591,0,2,2,null,0,0,0
1698222059208,258,Get Tenant Id,200,OK,View flow 1-2,text,true,,1531,445,2,2,https://dev.guardianservice.app/api/v1/tenants/user,257,0,0
1698222059465,1,Get Tenant Id-0,200,OK,View flow 1-2,text,true,,800,0,2,2,null,0,0,0
1698222059467,503,Get policy,200,"Number of samples in transaction : 2, number of failing samples : 0",View flow 1-2,,true,,5823,982,2,2,null,0,0,0
1698222059468,234,Login by SR,200,OK,View flow 1-2,text,true,,1650,393,2,2,https://dev.guardianservice.app/api/v1/accounts/login,234,0,0
1698222059702,0,Login by SR-0,200,OK,View flow 1-2,text,true,,852,0,2,2,null,0,0,0
1698222059703,267,Get Policy id,200,OK,View flow 1-2,text,true,,4173,589,2,2,https://dev.guardianservice.app/api/v1/policies,266,0,0
1698222059970,0,Get Policy id-0,200,OK,View flow 1-2,text,true,,1223,0,2,2,null,0,0,0
1698222050102,11370,Get token,200,"Number of samples in transaction : 2, number of failing samples : 0",View flow 1-1,,true,,6163,969,2,2,null,0,0,0
1698222050103,231,Login by user,200,OK,View flow 1-1,text,true,,2047,397,1,1,https://dev.guardianservice.app/api/v1/accounts/login,229,0,0
1698222050333,1,Login by user-0,200,OK,View flow 1-1,text,true,,1275,0,1,1,null,0,0,0
1698222050335,11137,Get tokens,200,OK,View flow 1-1,text,true,,4116,572,2,2,https://dev.guardianservice.app/api/v1/tokens,11136,0,0
1698222061471,1,Get tokens-0,200,OK,View flow 1-1,text,true,,1635,0,2,2,null,0,0,0
1698222068525,944,Get tenant,200,"Number of samples in transaction : 2, number of failing samples : 0",View flow 1-3,,true,,2622,822,3,3,null,0,0,451
1698222068527,679,Login by Admin,200,OK,View flow 1-3,text,true,,1092,377,3,3,https://dev.guardianservice.app/api/v1/accounts/login,678,0,451
1698222069205,1,Login by Admin-0,200,OK,View flow 1-3,text,true,,589,0,3,3,null,0,0,0
1698222069207,262,Get Tenant Id,200,OK,View flow 1-3,text,true,,1530,445,3,3,https://dev.guardianservice.app/api/v1/tenants/user,261,0,0
1698222069469,0,Get Tenant Id-0,200,OK,View flow 1-3,text,true,,799,0,3,3,null,0,0,0
1698222069471,496,Get policy,200,"Number of samples in transaction : 2, number of failing samples : 0",View flow 1-3,,true,,5822,982,3,3,null,0,0,0
1698222069471,230,Login by SR,200,OK,View flow 1-3,text,true,,1648,393,3,3,https://dev.guardianservice.app/api/v1/accounts/login,229,0,0
1698222069700,1,Login by SR-0,200,OK,View flow 1-3,text,true,,850,0,3,3,null,0,0,0
1698222069702,265,Get Policy id,200,OK,View flow 1-3,text,true,,4174,589,3,3,https://dev.guardianservice.app/api/v1/policies,264,0,0
1698222069966,1,Get Policy id-0,200,OK,View flow 1-3,text,true,,1224,0,3,3,null,0,0,0
1698222059973,11530,Get token,200,"Number of samples in transaction : 2, number of failing samples : 0",View flow 1-2,,true,,5741,969,3,3,null,0,0,0
1698222059973,231,Login by user,200,OK,View flow 1-2,text,true,,2048,397,2,2,https://dev.guardianservice.app/api/v1/accounts/login,231,0,0
1698222060204,0,Login by user-0,200,OK,View flow 1-2,text,true,,1276,0,2,2,null,0,0,0
1698222060205,11298,Get tokens,200,OK,View flow 1-2,text,true,,3693,572,3,3,https://dev.guardianservice.app/api/v1/tokens,11298,0,0
1698222071502,0,Get tokens-0,200,OK,View flow 1-2,text,true,,1637,0,3,3,null,0,0,0
